City;Code;Name;Price Retail;Price Discount;Address;Quantity;Availability
Санкт-Петербург;ПР0074860;Минеральный камень для грызунов BAMBINI PETS Фрукты 4шт;178.00;178.00;Заневский пр-т., д 67к2;достаточно;True
Санкт-Петербург;ПР0074813;Игрушка для грызунов BAMBINI PETS Яблочки из люфы. 2шт;298.00;298.00;Заневский пр-т., д 67к2;достаточно;True
Санкт-Петербург;ПР0073559;Клетка для грызунов НЕ ОДИН ДОМА Mouse розовый, 48х36х38см;3998.00;3638.18;Заневский пр-т., д 67к2;мало;True
Санкт-Петербург;ПР0074810;Игрушка для грызунов BAMBINI PETS Перчики из люфы. 2шт;348.00;348.00;Заневский пр-т., д 67к2;мало;True
Санкт-Петербург;ПР0073553;Клетка для грызунов НЕ ОДИН ДОМА Mouse розовый, 47х30х35см;4998.00;4698.12;Заневский пр-т., д 67к2;достаточно;True
Санкт-Петербург;ПР0074808;Игрушка для грызунов BAMBINI PETS Конфетки из люфы. 3шт;348.00;348.00;Заневский пр-т., д 67к2;достаточно;True
Санкт-Петербург;ПР0074845;Корм для грызунов BAMBINI PETS для шиншилл;498.00;398.4;Заневский пр-т., д 67к2;достаточно;True
Санкт-Петербург;ПР0074843;Корм для грызунов BAMBINI PETS для морских свинок;448.00;358.4;Заневский пр-т., д 67к2;достаточно;True
Санкт-Петербург;ПР0074841;Корм для кроликов BAMBINI PETS;448.00;358.4;Заневский пр-т., д 67к2;достаточно;True
Санкт-Петербург;ПР0074844;Корм для грызунов BAMBINI PETS для хомяков;298.00;238.4;Заневский пр-т., д 67к2;достаточно;True
Санкт-Петербург;ПР0071549;Клетка для грызунов MY PETS SOLUTIONS Trudy Natura 58x32x27h см;8750.00;8750.00;Заневский пр-т., д 67к2;мало;True
Санкт-Петербург;ПР0071546;Клетка для грызунов MY PETS SOLUTIONS Pino 45x27x34h см;6350.00;6350.00;Заневский пр-т., д 67к2;мало;True
Санкт-Петербург;ПР0071545;Клетка для грызунов MY PETS SOLUTIONS Lino 45x27x26h см;5390.00;5390.00;Заневский пр-т., д 67к2;мало;True
Санкт-Петербург;УТ0009550;Клетка для грызунов KREDO для хомяков 39х25х27см;5398.00;5398.00;Заневский пр-т., д 67к2;достаточно;True
Санкт-Петербург;УТ0015983;Клетка для грызунов FERPLAST CIRCUS FUN для хомяков 49,5x34x42,5см;7798.00;7798.00;Заневский пр-т., д 67к2;мало;True
Санкт-Петербург;Т00001617;Лакомство для грызунов FIORY Палочки для хомяков с фруктами;548.00;548.00;Заневский пр-т., д 67к2;достаточно;True
Санкт-Петербург;Т0024561;Кормушка для грызунов TRIXIE Шар ф8см;405.00;405.00;Заневский пр-т., д 67к2;мало;True
